f,g,C
"(583, 748, 325054374.89642894)","(572, 123, 258011070.89961433)",0.9674323595918248

"(353, 867, 324701375.037589)","(339, 238, 358374248.94317794)",0.9581954448371323

"(538, 66, 324079256.78081644)","(583, 485, 1256260759.608523)",0.6178195157611299

"(731, 767, 319767829.9508451)","(720, 144, 223910988.49272054)",0.954895530148021

"(597, 837, 316682981.34842676)","(581, 212, 298396949.4364514)",0.9567977400723338

"(336, 718, 316599245.9914575)","(323, 87, 377052129.1981379)",0.9556252942400947

"(303, 748, 316240200.59950715)","(290, 118, 290956167.1815942)",0.891592038670109

"(498, 569, 308099277.51185393)","(457, 656, 1100508704.7299235)",0.6411841622320655

"(389, 963, 306810237.8167069)","(373, 332, 280522621.696928)",0.9150571999576039

"(278, 465, 306733290.21528673)","(639, 537, 318572703.49154484)",0.7569444777705824

"(467, 671, 306627858.40882677)","(457, 42, 365389164.741947)",0.9223168545367072

"(380, 919, 306447117.21602213)","(365, 289, 300621890.28731763)",0.9280458593867639

"(428, 781, 306163422.58992434)","(415, 154, 270283819.8298749)",0.9676069252566801

"(576, 787, 304672474.09688914)","(562, 162, 268134178.34662604)",0.9551311812407713

"(294, 802, 303694388.97728467)","(280, 172, 284983538.40176845)",0.9962970119571973

"(421, 926, 298830138.5188948)","(404, 297, 228943134.5282425)",0.911705735847275

"(387, 794, 296397096.1206458)","(373, 166, 300718383.2770544)",0.9914669840290553

"(352, 784, 296023085.7991208)","(338, 156, 234036013.9948541)",0.9138092501141326

"(555, 989, 295603926.0279913)","(533, 358, 257050511.4676462)",0.9499333948869738

"(571, 913, 292579432.78873396)","(552, 286, 220141535.88636225)",0.9787880057917487

"(361, 340, 291884051.6148579)","(556, 548, 1658533529.8868961)",0.8025557164406097

"(434, 355, 291862282.6328227)","(463, 858, 466981606.571117)",0.7273626194752338

"(423, 672, 291778195.5552826)","(412, 42, 327313405.6631428)",0.9812131471502401

"(487, 757, 291462913.7799313)","(474, 131, 311876980.6528625)",0.9569759625871948

"(384, 923, 290659415.6305735)","(368, 293, 234729391.8423126)",0.9892086315290959

"(362, 770, 289715065.47245455)","(349, 141, 250976377.80519176)",0.9625449508237002

"(391, 786, 288179272.82562584)","(377, 158, 320660705.9673254)",0.9847525725590113

"(280, 701, 286997314.4945648)","(266, 69, 238244225.47371542)",0.9832006827215714

"(424, 786, 285976389.6599823)","(410, 159, 262449691.50330588)",0.9792789232125653

"(278, 693, 281628037.1740298)","(264, 60, 287580750.82305247)",0.9783404167591623

"(415, 975, 279506911.50300646)","(398, 343, 276702711.9769907)",0.9725637582587675

"(422, 784, 278026546.5894037)","(408, 157, 288489390.28559625)",0.9748139406772862

"(498, 651, 276907930.17758375)","(489, 20, 227676589.2417335)",0.9448453203341622

"(410, 160, 276407393.2272166)","(412, 132, 293485689.22623223)",0.6974324153625863

"(624, 795, 275148684.6434105)","(611, 171, 230428055.63969982)",0.9631647272199747

"(547, 905, 272967043.34883755)","(529, 278, 209916323.32572967)",0.9597834467474221

"(580, 803, 270276563.13764066)","(566, 179, 245687991.03236362)",0.8824051816868379

"(690, 121, 267029709.13704395)","(691, 494, 689327299.5811915)",0.771723200567771

"(378, 959, 266872274.09352368)","(362, 327, 292263690.6371298)",0.935867233297401

"(379, 900, 266603532.8159099)","(364, 271, 238995886.05974454)",0.9575002298984794

"(312, 672, 265366444.09483248)","(298, 39, 292157870.3328327)",0.9643094810362657

"(691, 795, 264975248.80778474)","(678, 172, 244764178.23934308)",0.9407882011567378

"(367, 916, 263454764.38524652)","(352, 286, 267387849.2305969)",0.9813774970963492

"(662, 713, 262759701.6983732)","(654, 88, 233381491.13234216)",0.9738196063904205

"(390, 946, 262748705.98994088)","(374, 315, 251278162.85716435)",0.9769469758226663

"(449, 646, 261999773.71949556)","(439, 15, 270160251.92459524)",0.9708469124675464

"(393, 714, 261973731.2118461)","(381, 85, 225697380.1352097)",0.9521505678768195

"(436, 832, 261198704.90797502)","(421, 205, 224692918.66502404)",0.9930106741295367

"(375, 783, 261063525.77687612)","(361, 155, 222885081.68870133)",0.9891688158022466

"(595, 671, 257394041.02284467)","(588, 43, 221080141.15917152)",0.9715660203082367

"(480, 645, 255019703.51570642)","(471, 14, 310953549.3098608)",0.9852103060629189

"(370, 763, 254791102.9449213)","(356, 135, 332789017.6133388)",0.9713254814793472

"(638, 690, 253047941.68138957)","(631, 63, 317141420.6740318)",0.9600685575210702

"(391, 981, 252932652.79854527)","(374, 348, 214005239.44544867)",0.9656947788685766

"(364, 714, 252133790.93408102)","(351, 84, 294929510.46012825)",0.9971991377652102

"(381, 974, 251602388.19754416)","(365, 342, 219497850.78005767)",0.9603465583335616

"(579, 978, 248492260.28204018)","(557, 348, 209642238.93023175)",0.9831804584154837

"(445, 696, 248359616.37952915)","(433, 67, 291813469.21836096)",0.9393216755841648

"(699, 735, 248355157.5133175)","(690, 111, 267269068.3926635)",0.9829861043929636

"(530, 713, 247828079.27806127)","(519, 86, 244939058.31994903)",0.9483647476205124

"(356, 764, 247255436.6966464)","(342, 135, 224348108.2396698)",0.9785260337021849

"(739, 198, 245528046.93325204)","(593, 184, 355980446.1416964)",0.6805495234787713

"(525, 770, 242248696.17810076)","(512, 144, 305076617.6047227)",0.9750753271005588

"(367, 794, 242116991.68681732)","(353, 166, 345201266.8455)",0.989194563215541

"(462, 750, 239417871.6831198)","(450, 123, 281736759.48388535)",0.9455254095219957

"(394, 785, 237227338.74213004)","(380, 158, 255299744.2451594)",0.9242055258035169

"(388, 751, 236400468.9234212)","(375, 123, 217891170.24483985)",0.9824277279461192

"(468, 731, 233507197.15611386)","(456, 104, 280880189.18616974)",0.9716472547590485

"(357, 721, 232742352.99404013)","(609, 423, 626887683.7827865)",0.616287832139908

"(364, 172, 230544248.27218848)","(346, 268, 714512218.6309519)",0.8270864651821508

"(299, 764, 230461025.5091191)","(285, 134, 260777767.4569066)",0.995803911918314

"(428, 788, 229175632.954514)","(414, 161, 254843451.4407128)",0.981482852447334

"(425, 760, 227865929.4022319)","(412, 132, 293485689.22623223)",0.9608413511708154

"(438, 962, 227368906.0007492)","(420, 332, 225549100.80845737)",0.932978394630966

"(433, 787, 226616310.26898977)","(419, 160, 273882261.98121655)",0.9820036848495438

"(593, 146, 225948068.77715078)","(707, 450, 303677657.61048466)",0.5851110477870994

"(327, 429, 225453658.7465744)","(380, 94, 1023921401.0127735)",0.7755814435529667

"(501, 817, 224623011.88291615)","(487, 191, 228090982.5114991)",0.9677389916354604

"(421, 712, 221914110.55308422)","(409, 83, 212720546.60875922)",0.9930705295145634

"(295, 560, 220962880.1798883)","(371, 166, 345634209.32665837)",0.7082343386593825

"(537, 819, 220553798.4085878)","(608, 184, 868083190.4371494)",0.7403931461191345

"(527, 701, 220003900.09346616)","(517, 73, 266561604.06616956)",0.9693961529417968

"(487, 640, 218543489.19109017)","(478, 9, 212313952.11853093)",0.9830699667630869

"(390, 978, 215565412.42455927)","(463, 730, 614355999.0671122)",0.8649608200688472

"(671, 84, 215487955.20368075)","(311, 78, 704202749.7943693)",0.6406127710575572

"(667, 333, 214654070.736172)","(323, 97, 1227640098.3413463)",0.7305063582972219

"(499, 130, 212657646.97751588)","(593, 184, 355980446.1416964)",0.6784548807607099

"(364, 242, 211659114.8775257)","(467, 736, 373718959.51222044)",0.6887102182219649

"(397, 515, 210358419.1538799)","(587, 137, 388353393.35687745)",0.6160827767434499

"(536, 25, 207873106.59586772)","(659, 545, 345060448.3066867)",0.54673052875049

"(468, 74, 207523807.0962721)","(422, 99, 2208176663.7473145)",0.7123549491196209

"(359, 777, 207337311.29427642)","(345, 148, 216337417.7227923)",0.9781536909043185

"(349, 869, 207132645.90485153)","(367, 23, 741618612.8345087)",0.8249887643279793

"(340, 782, 206834939.99156067)","(327, 153, 275548664.56639117)",0.9618737640009942

"(343, 710, 205730072.7399915)","(329, 79, 220703215.6633094)",0.9459143210766949

"(487, 326, 204933840.8439046)","(467, 917, 244724877.9772615)",0.748354992030297

"(567, 979, 204327026.48373795)","(547, 281, 389757808.00980794)",0.7668865929674514

"(649, 133, 203275093.07861203)","(542, 159, 1062989875.5688238)",0.7898919744424548

"(505, 591, 201053115.18340346)","(437, 352, 1419575252.7804828)",0.7650591250267534

